Author,Year,DOI,Male,Female
"Pearson, Low, Stohr, Kalsi, Ali, Barker and Gonzalez-Alonso",2011,10.1152/ajpregu.00662.2010,11,
Peiffer and Abbiss,2011,10.1123/ijspp.6.2.208,9,
Pendergast and Mollendorf,2011,,8,
"Pereira, Machado, Ribeiro, Russo, De Paula and Lazo-Osório",2011,,30,
"Periard, Caillaud and Thompson",2011,10.1249/MSS.0b013e3182148a9a,8,
"Periard, Cramer, Chapman, Caillaud and Thompson",2011,10.1113/expphysiol.2010.054213,8,
"Périard, Cramer, Chapman, Caillaud and Thompson",2011,10.1007/s00421-010-1781-3,9,
"Ping, Keong and Bandyopadhyay",2011,,9,
"Rodriguez-Marroyo, Villa, Lopez-Satue, Pernia, Carballo, Garcia-Lopez and Foster",2011,10.1080/00140139.2011.611895,60,
"Roelands, Buyse, Pauwels, Delbeke, Deventer and Meeusen",2011,10.1007/s00421-011-1945-9,8,
"Ross, Garvican, Jeacocke, Laursen, Abbiss, Martin and Burke",2011,10.1249/MSS.0b013e3181e93210,11,
"Rossi, Schaefer Cardoso, Torres and Ragasso Casalenovo",2011,,12,
"Sasaki, Fujii, Tsuji and Nishiyasu",2011,,13,
"Scheer, Michelson, Frelinger, Evoniuk, Kelly, Mccarthy, Doamekpor, Barnard and Shea",2011,10.1371/journal.pone.0024549,6,6
"Schlader, Raman, Morton, Stannard, Mündel, Schlader, Morton, Stannard and Mündel",2011,,8,
"Schlader, Simmons, Stannard and Mundel",2011,10.1007/s00421-010-1791-1,8,
"Schlader, Stannard and Mündel",2011,,11,
"Shaharudin, Ghosh and Ismail",2011,,,12
"Silva, Cleto, Do Valle, Gripp, Rocha-Vieira and Pinto",2011,,4,
"Skein, Duffield, Edge, Short and Mundel",2011,10.1249/MSS.0b013e31820abc5a,10,
"Smith, Petruzzello, Goldstein, Ahmad, Tangella, Freund and Horn",2011,10.3109/10903127.2010.545477,114,
"Solonin, Boiko, Loginova and Ketkina",2011,,17,
"Stewart, Rojek and Hunt",2011,10.7205/milmed-d-11-00052,6,
"Stohr, Gonzalez-Alonso, Pearson, Low, Ali, Barker and Shave",2011,10.1113/expphysiol.2010.055137,10,
"Taylor, Cronin, Gill, Chapman and Sheppard",2011,10.1055/s-0030-1268437,8,
Teunissen and Daanen,2011,10.3109/03091902.2011.554595,6,4
"Teunissen, De Haan, De Koning, Clairbois and Daanen",2011,10.1088/0967-3334/32/9/004,5,2
"Teunissen, Klewer, De Haan, De Koning and Daanen",2011,10.1088/0967-3334/32/5/005,4,3
"Tippet, Stofan, Lacambra and Horswill",2011,10.4085/1062-6050-46.1.55,,7
"Tsuji, Fujii, Kondo and Nishiyasu",2011,,9,
"Tumilty, Davison, Beckmann and Thatcher",2011,10.1007/s00421-011-1921-4,8,
Tyler,2011,10.1088/0967-3334/32/10/003,8,3
Tyler and Sunderland,2011,10.1249/MSS.0b013e318222ef72,7,
Tyler and Sunderland,2011,10.4085/1062-6050-46.1.61,8,
Vaile,2011,,10,
"Versey, Halson and Dawson",2011,10.1007/s00421-010-1614-4,11,
Wagner,2011,10.1016/j.wem.2010.10.006,1,
"Wakabayashi, Wijayanto, Lee, Hashiguchi, Saat and Tochihara",2011,10.1007/s00484-010-0374-5,20,
"Xhauflaire-Uhoda, Mayeux, Quatresooz, Scheen and Pierard",2011,10.1111/j.1600-0846.2011.00523.x,14,6
"Zois, Bishop, Ball and Aughey",2011,10.1016/j.jsams.2011.03.012,10,
"Cotie, Geurts, Adams and Macdonald",2011,10.1038/sc.2010.52,6,1
"Thijssen, Eijsvogels, Hesse, Ballak, Atkinson and Hopman",2011,10.3109/07420528.2010.540364,23,
,2012,,9,
,2012,,8,
"Almudehki, Girard, Grantham and Racinais",2012,10.1016/j.jsams.2011.07.009,10,
"Amon, Keramidas, Kounalakis and Mekjavic",2012,10.1089/ham.2011.1044,17,
"Armstrong, Ahmad, Seely and Kenny",2012,10.1007/s00421-011-1989-x,8,
"Avelar, Costa, Da Fonseca, Tossige-Gomes, Gripp, Coimbra and Lacerda",2012,10.1519/JSC.0b013e318243fb48,6,
Avila and Buono,2012,10.3109/02656736.2011.613891,10,
"Barwood, Corbett, White and James",2012,10.1136/bjsports-2011-090536,11,
"Best, Caillaud and Thompson",2012,10.1111/j.1600-0838.2011.01384.x,21,
"Binder, Lynn, Gagnon, Kondo and Kenny",2012,10.1152/ajpregu.00463.2011,12,
"Binnie, Landers and Peeling",2012,10.1519/JSC.0b013e31823f29c6,5,2
"Blazquez, Martinez-Nicolas, Salazar, Rol and Madrid",2012,10.3109/07420528.2012.679328,13,15
"Bogdan, Sudol-Szopinska, Luczak, Konarska and Pietrowski",2012,10.1080/10803548.2012.11076938,5,
"Bougard, Espie, Larnaudie, Moussay and Davenne",2012,10.1371/journal.pone.0039735,12,
"Bourlai, Pryor, Suyama, Reis and Hostler",2012,10.3109/10903127.2012.670689,6,
"Brancaccio, Limongelli, Paolillo, D'aponte, Donnarumma and Rastrelli",2012,,88,
"Burgess, Duncan, Hu, Littau, Caseman, Kurzius-Spencer, Davis-Gorman and Mcdonagh",2012,10.1097/JOM.0b013e3182619018,88,6
"Burtscher, Kofler, Gatterer, Faulhaber, Philippe, Fischer, Walther and Herten",2012,10.1097/JSM.0b013e318257c9cc,6,3
"Castle, Maxwell, Allchorn, Mauger and White",2012,,7,
"Ce, Rampichini, Agnello, Limonta, Veicsteinas and Esposito",2012,10.1016/j.jelekin.2012.01.012,16,
"Chu, Li, Juan and Chiou",2012,10.1089/acm.2011.0366,15,
Chudecka and Lubkowska,2012,,12,
"Costello, Algar and Donnelly",2012,10.1111/j.1600-0838.2011.01292.x,24,12
"Davis, Bishop, Zhang, Matt Green, Casaru, Orrick, Curtner-Smith, Richardson and Schumacker",2012,10.1007/s00421-011-2026-9,,8
"De Paula Viveiros, Amorim, Alves, Passos and Meyer",2012,10.1055/s-0031-1295444,14,
"Demachi, Yoshida and Tsuneoka",2012,10.1007/s00484-011-0430-9,7,
"Demachi, Yoshida, Kume and Tsuneoka",2012,10.1055/s-0031-1301329,7,
"Deren, Coris, Bain, Walz and Jay",2012,10.1249/MSS.0b013e31822cb4e2,12,
"Duffield, Mccall, Coutts and Peiffer",2012,,13,
Færevik and Reinertsen,2012,,13,
"Fernhall, Fahs, Horn, Rowland and Smith",2012,,40,
"Flausino, Da Silva Prado, De Queiroz, Tufik and De Mello",2012,10.1111/j.1469-8986.2011.01300.x,17,
"Fujii, Honda, Ogawa, Tsuji, Kondo, Koga and Nishiyasu",2012,10.1007/s00421-011-1980-6,21,
"Galazoulas, Tzimou, Karamousalidis and Mougios",2012,10.1007/s00421-012-2320-1,7,7
"Gallagher, Robertson, Goss, Nagle-Stilley, Schafer, Suyama and Hostler",2012,,54,11
"Garrett, Creasy, Rehrer, Patterson and Cotter",2012,,8,
"Grahn, Cao, Nguyen, Liu and Heller",2012,10.1519/JSC.0b013e31823f8c1a,67,
"Hailes, Cuddy, Slivka, Hansen and Ruby",2012,10.1016/j.wem.2012.03.003,7,
"Hammouda, Chahed, Chtourou, Ferchichi, Miled and Souissi",2012,,20,
"Hammouda, Chtourou, Chahed, Ferchichi, Chaouachi, Kallel, Miled, Chamari and Souissi",2012,10.1055/s-0032-1301887,15,
"Hartley, Flouris, Plyley and Cheung",2012,10.1016/j.physbeh.2011.12.017,15,5
"Hayashi, Kawashima and Suzuki",2012,10.1152/japplphysiol.01199.2011,,10
"He, Votruba, Pomeroy, Bonfiglio and Krakoff",2012,10.1371/journal.pone.0036225,15,6
"Heled, Peled, Yanovich, Shargal, Pilz-Burstein, Epstein and Moran",2012,10.3357/asem.3241.2012,8,
"Hoffmann, Rodriguez, Zeiss, Wachsberg, Kushner, Landsberg and Linsenmeier",2012,10.1038/oby.2011.380,12,12
"Hom, Lee, Apicella, Wallace, Emmanuel, Klau, Poh, Marzano, Armstrong, Casa and Maresh",2012,10.1007/s12192-011-0283-5,11,
Hunt and Wells,2012,10.3233/wor-2012-0968-5836,37,
"Hunt, Feigl and Stewart",2012,,7,
"Janse De Jonge, Thompson, Chuter, Silk and Thom",2012,10.1249/MSS.0b013e3182656f13,,12
"Jimenez, Fortrat, Delapierre and Melin",2012,10.3357/asem.3141.2012,8,
"Johnstone, Ford, Hughes, Watson and Garrett",2012,,10,
"Johnstone, Ford, Hughes, Watson and Garrett",2012,,22,
"Kalin, Knechtle, Rust, Mydlak and Rosemann",2012,10.2147/oajsm.S36808,1,
Kalsi and Gonzalez-Alonso,2012,10.1113/expphysiol.2011.064238,27,
"Kenny, Vierula, Mate, Beaulieu, Hardcastle and Reardon",2012,10.1080/15459624.2012.693880,36,
"Kounalakis, Eiken and Mekjavic",2012,,9,
"Lafata, Carlson-Phillips, Sims and Russell",2012,10.1186/1550-2783-9-44,45,
"Larsen, Netto, Skovli, Vincs, Vu and Aisbett",2012,10.7205/milmed-d-11-00435,12,
"Lee, Nakao, Bakri and Tochihara",2012,10.1007/s00421-011-2192-9,7,
"Levels, De Koning, Foster and Daanen",2012,10.1007/s00421-012-2316-x,13,
"Logan-Sprenger, F. Heigenhauser, Killian and Spriet",2012,,,9
"Lohman, Sackiriyas, Bains, Calandra, Lobo, Nakhro, Malthankar and Paul",2012,10.12659/msm.883209,7,3
"Lopez, Eberman and Cleary",2012,10.1519/JSC.0b013e3182736e5b,5,4
Macleod and Sunderland,2012,,,8
"Macrae, Laing, Niven and Cotter",2012,,12,
"Maughan, Otani and Watson",2012,,8,
"Messonnier, Samb, Tripette, Gogh, Loko, Sall, Feasson, Hue, Lamothe, Bogui and Connes",2012,10.3233/ch-2011-1524,12,
"Mestre-Alfaro, Ferrer, Banquells, Riera, Drobnic, Sureda, Tur and Pons",2012,10.3109/10715762.2012.680193,9,
"Minett, Duffield, Kellett and Portus",2012,,10,
"Minett, Duffield, Kellett and Portus",2012,,8,
"Minett, Duffield, Marino and Portus",2012,,8,
"Mohr, Nybo, Grantham and Racinais",2012,10.1371/journal.pone.0039202,17,
"Mora-Rodriguez, Aguado-Jimenez, Del Coso and Estevez",2012,10.1111/j.1537-2995.2012.03613.x,8,
"Morley, Beauchamp, Suyama, Guyette, Reis, Callaway and Hostler",2012,,5,24
"Munoz, Carney, Schick, Coburn, Becker and Judelson",2012,10.1111/j.1600-0838.2012.01510.x,10,
"Périard, Caillaud and Thompson",2012,,16,
"Periard, Ruell, Caillaud and Thompson",2012,10.1007/s12192-011-0313-3,16,
"Pointon, Duffield, Cannon and Marino",2012,,10,
"Polyviou, Pitsiladis, Lee, Pantazis, Hambly, Speakman and Malkova",2012,10.1186/1550-2783-9-29,22,
"Pumchandh, Tedsana, Ngow, Rangsin, Aimpun, Mungthin and Srilennawat",2012,,1115,
Racinais and Girard,2012,10.1111/j.1469-8986.2012.01360.x,12,
"Raines, Snow, Petersen, Harvey, Nichols and Aisbett",2012,10.1016/j.apergo.2011.08.007,31,1
"Rintamaki, Kyrolainen, Santtila, Mantysaari, Simonen, Torpo, Makinen, Rissanen and Lindholm",2012,10.1519/JSC.0b013e31825d817e,20,
"Rodriguez-Marroyo, Lopez-Satue, Pernia, Carballo, Garcia-Lopez, Foster and Villa",2012,10.1007/s00420-011-0661-4,160,
