Author,Year,DOI,TOTAL,Male,Female,G1,G1_n,G1_P1,G1_P2,G2,G2_n,G2_P1,G2_P2,G3,G3_n,G3_P1,G3_P2,G4,G4_n,G4_P1,G4_P2
"Janse De Jonge, Thompson, Chuter, Silk and Thom",2012,10.1249/MSS.0b013e3182656f13,12,,12,EUM,12,Early_Follicular,Mid_Luteal,,,,,,,,,,,,
"Logan-Sprenger, F. Heigenhauser, Killian and Spriet",2012,,9,,9,OCP,9,,,,,,,,,,,,,,
"Lohman, Sackiriyas, Bains, Calandra, Lobo, Nakhro, Malthankar and Paul",2012,10.12659/msm.883209,10,7,3,Not_Reported,,,,,,,,,,,,,,,
"Lopez, Eberman and Cleary",2012,10.1519/JSC.0b013e3182736e5b,9,5,4,Not_Reported,,,,,,,,,,,,,,,
"Morley, Beauchamp, Suyama, Guyette, Reis, Callaway and Hostler",2012,,29,5,24,Not_Reported,,,,,,,,,,,,,,,
"Raines, Snow, Petersen, Harvey, Nichols and Aisbett",2012,10.1016/j.apergo.2011.08.007,32,31,1,Not_Reported,,,,,,,,,,,,,,,
"Romberg, Ikonen, Ruutiainen, Virtanen and Hamalainen",2012,10.1016/j.jns.2012.05.024,19,5,14,Not_Reported,,,,,,,,,,,,,,,
"Romeijn, Verweij, Koeleman, Mooij, Steimke, Virkkala, Van Der Werf and Van Someren",2012,10.5665/sleep.2242,8,5,3,EUM,3,Follicular,,,,,,,,,,,,,
"Singh, Denissen, Mckune and Peters",2012,10.1097/JSM.0b013e318248e27f,12,5,7,Not_Reported,,,,,,,,,,,,,,,
Smith and Havenith,2012,10.1249/MSS.0b013e318267b0c4,13,,13,Not_Controlled,,,,,,,,,,,,,,,
"Sporer, Cote and Sleivert",2012,10.1123/ijspp.7.3.295,4,2,2,Not_Reported,,,,,,,,,,,,,,,
"Teunissen, De Haan, De Koning and Daanen",2012,10.1088/0967-3334/33/6/915,9,6,3,Not_Reported,,,,,,,,,,,,,,,
Wan and Chung,2012,10.1111/j.1742-7924.2011.00191.x,151,,151,EUM,93,Not_Controlled,,Amenorrheic/Oligomenorrheic,58,Not Controlled,,,,,,,,,
"Wright, Mclellan, Friesen, Casa and Kenny",2012,10.1152/japplphysiol.00523.2012,9,7,2,Not_Reported,,,,,,,,,,,,,,,
"Abdi Hamzehkolaei, Dabidi Roshan and Hosseinzadeh",2013,,45,,45,Not_Reported,,,,,,,,,,,,,,,
Akehi and Long,2013,,30,11,19,Not_Reported,,,,,,,,,,,,,,,
"Ayres, White, Hedger and Scurr",2013,10.1080/00140139.2013.789554,8,,8,Not_Reported,,,,,,,,,,,,,,,
"Bijlenga, Van Someren, Gruber, Bron, Kruithof, Spanbroek and Kooij",2013,10.1111/jsr.12075,12,6,6,Not_Reported,,,,,,,,,,,,,,,
"Birkemose, Moller, Madsen, Brantlov, Sorensen, Overgaard and Johansen",2013,10.1109/embc.2013.6610178,14,6,8,Not_Reported,,,,,,,,,,,,,,,
"Bonfiglioli, Mussoni, Graziosi, Calabrese, Farioli, Marinelli and Violante",2013,10.1016/j.jelekin.2012.09.001,28,13,15,Not_Reported,,,,,,,,,,,,,,,
"Brearley, Heaney and Norton",2013,10.1017/s1049023x12001847,10,4,6,Not_Reported,,,,,,,,,,,,,,,
"Bromundt, Wirz-Justice, Kyburz, Opwis, Dammann and Cajochen",2013,10.1521/pedi_2012_26_057,10,,10,Not_Reported,,,,,,,,,,,,,,,
"Bruning, Dahmus, Kenney and Alexander",2013,10.1249/MSS.0b013e31827981dc,14,7,7,Amenorrheic/Oligomenorrheic,5,,,EUM,2,Early_Follicular,,,,,,,,,
"Bryan, Magnan, Hooper, Ciccolo, Marcus and Hutchison",2013,10.1186/1479-5868-10-139,218,43,175,EUM,175,Not_Reported,,,,,,,,,,,,,
"Cuesta-Vargas, Trave-Mesa, Vera-Cabrera, Cruz-Terron, Castro-Sanchez, Fernandez-De-Las-Penas and Arroyo-Morales",2013,10.1186/1472-6882-13-180,34,17,17,Not_Reported,,,,,,,,,,,,,,,
"Del Coso, Fernandez De Velasco, Abian-Vicen, Salinero, Gonzalez-Millan, Areces, Ruiz, Gallo, Calleja-Gonzalez and Perez-Gonzalez",2013,10.1371/journal.pone.0057602,40,34,6,Not_Reported,,,,,,,,,,,,,,,
"Eglin, Golden and Tipton",2013,10.1186/2046-7648-2-16,23,21,2,Not_Reported,,,,,,,,,,,,,,,
"Fontecave-Jallon, Baconnier, Tanguy, Eymaron, Rongier and Gumery",2013,10.1007/s10441-013-9192-6,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Formenti, Ludwig, Gargano, Gondola, Dellerma, Caumo and Alberti",2013,10.1007/s10439-012-0718-x,14,,14,Not_Reported,,,,,,,,,,,,,,,
Games and Sefton,2013,10.1111/j.1600-0838.2011.01419.x,14,5,9,Not_Reported,,,,,,,,,,,,,,,
"Ganio, Gagnon, Stapleton, Crandall and Kenny",2013,10.1097/BCR.0b013e31826c32c0,1,,1,Not_Reported,,,,,,,,,,,,,,,
"Goss, Robertson, Gallagher Jr, Haile, Morley, Suyama and Hostler",2013,10.2466/27.29.PMS.116.3.773-783,21,16,5,Not_Reported,,,,,,,,,,,,,,,
"Hodge, Jones, Martinez and Buono",2013,10.1016/j.autneu.2013.02.017,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Horn, Blevins, Fernhall and Smith",2013,10.1080/00140139.2013.818719,9,6,3,Not_Reported,,,,,,,,,,,,,,,
"Hue, Monjo, Lazzaro, Baillot, Hellard, Marlin and Jean-Etienne",2013,10.1123/ijspp.8.4.442,9,5,4,Not_Reported,,,,,,,,,,,,,,,
"Jan, Liao, Rice and Woods",2013,10.1016/j.apmr.2013.03.022,20,10,10,Not_Reported,,,,,,,,,,,,,,,
"Kenny, Stapleton, Yardley, Boulay and Sigal",2013,10.1249/MSS.0b013e3182940836,10,6,4,Not_Reported,,,,,,,,,,,,,,,
"Lakin, Notarius, Thomas and Goodman",2013,10.1042/cs20120508,21,11,10,OCP,,Pill,,,,,,,,,,,,,
"Lee, Brown, Lange and Brothers",2013,10.1519/JSC.0b013e318291b29f,10,8,2,Not_Reported,,,,,,,,,,,,,,,
"Martinez-Nicolas, Ortiz-Tudela, Rol and Madrid",2013,10.1371/journal.pone.0061142,103,48,55,Not_Reported,,,,,,,,,,,,,,,
"Otterstetter, Johnson, Kiger, Agnor, Edwards, Naylor and Krone",2013,10.1038/ejcn.2013.133,40,22,18,Not_Reported,,,,,,,,,,,,,,,
"Parker, Erin, Pryor, Khorana, Suyama, Guyette, Reis and Hostler",2013,10.1016/j.wem.2013.01.010,40,24,16,Not_Reported,,,,,,,,,,,,,,,
Paulson and Shay,2013,10.1136/acupmed-2012-010223,36,17,19,Not_Reported,,,,,,,,,,,,,,,
Racinais,2013,10.1186/2193-1801-2-317,25,15,10,Not_Reported,,,,,,,,,,,,,,,
Racinais and Cresswell,2013,10.1002/phy2.19,14,7,7,Not_Reported,,,,,,,,,,,,,,,
"Raines, Snow, Petersen, Harvey, Nichols and Aisbett",2013,10.1016/j.apergo.2012.10.002,34,32,2,Not_Reported,,,,,,,,,,,,,,,
Simic and Ravlic,2013,10.2478/10004-1254-64-2013-2167,19,,19,EUM,19,Early_Follicular,Late_Follicular,EUM,,Mid_Luteal,Early_Follicular,,,,,,,,
"Squarcini, Pires, Lopes, Benedito-Silva, Esteves, Cornelissen-Guillaume, Matarazzo, Garcia, Silva, Tufik and Mello",2013,,10,6,4,Not_Reported,,,,,,,,,,,,,,,
"Stapleton, Yardley, Boulay, Sigal and Kenny",2013,10.1249/MSS.0b013e31829002f3,12,7,5,Not_Reported,,,,,,,,,,,,,,,
"Tenan, Peng, Hackney and Griffin",2013,10.1249/MSS.0b013e318299a69d,18,11,7,EUM,7,Early_Follicular,Late_Follicular,EUM,,Mid_Luteal,Late_Luteal,EUM,,Ovulation,,,,,
"West, Dietzig, Bracken, Cunningham, Crewther, Cook and Kilduff",2013,10.1016/j.jsams.2012.06.002,8,4,4,Not_Reported,,,,,,,,,,,,,,,
"Yu, Bilberg, Dalgas and Stenager",2013,10.3109/17483107.2012.680941,9,1,8,Not_Reported,,,,,,,,,,,,,,,
"Altrichter, Salow, Ardelean, Church, Werner and Maurer",2014,10.1016/j.jdermsci.2014.04.007,10,5,5,Not_Reported,,,,,,,,,,,,,,,
"Belkhiria-Turki, Chaouachi, Turki, Hammami, Chtara, Amri, Drinkwater and Behm",2014,https://protect-au.mimecast.com/s/ubmJCMwvOEhql6YooUWoP0Q?domain=d1wqtxts1xzle7.cloudfront.net,,,,,,,,,,,,,,,,,,,
"Bongers, Eijsvogels, Nyakayiru, Veltmeijer, Thijssen and Hopman",2014,10.1007/s11357-014-9725-1,79,49,30,Not_Reported,,,,,,,,,,,,,,,
Borisov and Lin,2014,10.1016/j.exger.2014.06.005,23,15,8,Not_Reported,,,,,,,,,,,,,,,
"Buono, Holloway, Levine, Rasmussen and Kolkhorst",2014,,7,2,5,EUM,5,Follicular,,,,,,,,,,,,,
"Burdon, Easthope, Johnson, Chapman and O'connor",2014,10.1139/apnm-2013-0394,8,5,3,EUM,3,Not_Reported,,,,,,,,,,,,,
"Correa, Molina and Sanabria",2014,10.1016/j.aap.2014.02.020,25,,25,Not_Reported,,,,,,,,,,,,,,,
"Cuddy, Hailes and Ruby",2014,10.1016/j.jtherbio.2014.04.002,60,49,11,Not_Reported,,,,,,,,,,,,,,,
"Davis, Etheredge, Marcus and Bellar",2014,10.1155/2014/781863,12,9,3,Not_Reported,,,,,,,,,,,,,,,
"Davis, Thigpen, Hornsby, Green, Coates and O'neal",2014,10.1080/17461391.2014.894578,13,11,2,Not_Reported,,,,,,,,,,,,,,,
